organisation,latitude,longitude,pcds,oslaua,IPSO,NPO,Project Grant,funding_geo_code,funding_geo_name,company_number,accounts_category,sic_code,uri,registered_charity_number,charity_contact_web,funded,company_match,charity_match
Company of Others,54.963466,-1.5560566,,,False,True,True,E08000021,Newcastle upon Tyne,10016228,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/10016228,,,True,True,False
Conrad Williams Bird,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Creative Spaces North East C.I.C.,55.004558,-1.652144,NE3 3QH,E08000021,False,False,True,E08000021,Newcastle upon Tyne,11959787,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/11959787,,,True,True,False
Curious Arts Ltd,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Curious Monkey Ltd,54.974124,-1.647733,NE4 9PQ,E08000021,False,False,True,E08000021,Newcastle upon Tyne,08550041,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/08550041,1167703,www.curiousmonkeytheatre.com,True,True,True
CØH VISUALS LIMITED,54.98596,-1.656508,NE4 9TS,E08000021,False,False,False,,,14570087,NO ACCOUNTS FILED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/14570087,,,False,True,False
D6 Culture Ltd,54.971291,-1.619905,NE1 4XF,E08000021,False,False,True,E08000021,Newcastle upon Tyne,02632544,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/02632544,,,True,True,False
DANCE ARTISTS NORTH EAST CIC,54.984078,-1.575753,NE6 5BT,E08000021,False,False,False,,,15852918,NO ACCOUNTS FILED,"[""78200 - Temporary employment agency activities"", ""90010 - Performing arts"", ""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/15852918,,,False,True,False
DANCE FUSION EXTREME CIC,54.979127,-1.699658,NE15 7SW,E08000021,False,False,False,,,11175079,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/11175079,,,False,True,False
DANCE NORTH,54.970186,-1.622246,NE1 4BR,E08000021,False,False,False,,,02490618,FULL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/02490618,,,False,True,False
DARUL HIKMAH ACADEMY LTD,54.973156,-1.638418,NE4 6PA,E08000021,False,False,False,,,15347013,NO ACCOUNTS FILED,"[""85510 - Sports and recreation education"", ""85520 - Cultural education"", ""85590 - Other education n.e.c."", ""85600 - Educational support services""]",http://business.data.gov.uk/id/company/15347013,,,False,True,False
DAVE GRAY,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
DAVISON CREATIVE LTD,54.995192,-1.721311,NE5 1EL,E08000021,False,False,False,,,10531760,MICRO ENTITY,"[""71111 - Architectural activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/10531760,,,False,True,False
DAVISON MEDIA LIMITED,55.011201,-1.623642,NE3 3PF,E08000021,False,False,False,,,10368709,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/10368709,,,False,True,False
DAY DOT PRODUCTIONS LTD,54.983249,-1.577558,NE6 5YD,E08000021,False,False,False,,,06872444,MICRO ENTITY,"[""59111 - Motion picture production activities"", ""59112 - Video production activities""]",http://business.data.gov.uk/id/company/06872444,,,False,True,False
DAYMON BRITTON LIMITED,54.969536,-1.582716,NE6 1AS,E08000021,False,False,False,,,09173067,TOTAL EXEMPTION FULL,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/09173067,,,False,True,False
DEADWOOD STUDIO LIMITED,55.008496,-1.620588,NE3 1HN,E08000021,False,False,False,,,10321925,MICRO ENTITY,"[""16290 - Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/10321925,,,False,True,False
DEEP SPACE MEDIA LIMITED,54.962685,-1.647801,NE4 7YA,E08000021,False,False,False,,,15301654,NO ACCOUNTS FILED,"[""59112 - Video production activities"", ""73120 - Media representation services""]",http://business.data.gov.uk/id/company/15301654,,,False,True,False
DEJAVU VIDEO LIMITED,54.971804,-1.619388,NE1 4XN,E08000021,False,False,False,,,04640061,MICRO ENTITY,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/04640061,,,False,True,False
DESIGN F LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,08528138,UNAUDITED ABRIDGED,"[""74100 - specialised design activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/08528138,,,False,True,False
DIALOGUE FOSTERS CIC,54.978499,-1.649541,NE4 9AW,E08000021,False,False,False,,,13453283,TOTAL EXEMPTION FULL,"[""85520 - Cultural education""]",http://business.data.gov.uk/id/company/13453283,,,False,True,False
DIFFERENT TAKE LIMITED,55.027208,-1.620881,NE3 5TB,E08000021,False,False,False,,,06779559,MICRO ENTITY,"[""59112 - Video production activities"", ""59113 - Television programme production activities""]",http://business.data.gov.uk/id/company/06779559,,,False,True,False
DIFFRACTIVE STUDIO LTD,54.976097,-1.597019,NE2 1AN,E08000021,False,False,False,,,14748076,NO ACCOUNTS FILED,"[""20420 - Manufacture of perfumes and toilet preparations"", ""46190 - Agents involved in the sale of a variety of goods"", ""46450 - Wholesale of perfume and cosmetics"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/14748076,,,False,True,False
DIGITALFIRE LTD,55.006597,-1.624828,NE3 1DX,E08000021,False,False,False,,,09436747,MICRO ENTITY,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/09436747,,,False,True,False
DIM SUM DIGITAL LTD,55.007932,-1.595405,NE7 7LX,E08000021,False,False,False,,,08177425,MICRO ENTITY,"[""58190 - Other publishing activities"", ""59112 - Video production activities"", ""70229 - Management consultancy activities other than financial management""]",http://business.data.gov.uk/id/company/08177425,,,False,True,False
DIY CEILIDH LTD,54.985612,-1.578032,NE6 5XJ,E08000021,False,False,False,,,15728501,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15728501,,,False,True,False
DURHAM MUSLIMS COMMUNITY LTD,54.972661,-1.642028,NE4 6UL,E08000021,False,False,False,,,14486676,NO ACCOUNTS FILED,"[""85520 - Cultural education"", ""85600 - Educational support services""]",http://business.data.gov.uk/id/company/14486676,,,False,True,False
Dance City,54.970106,-1.6224653,,,False,True,False,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Danielle Stone,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
David Reynolds,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Debbi Purtill,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Department of Classics Newcastle University,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Dora Frankel,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
ECOFLIX MEDIA LIMITED,55.00311,-1.695524,NE5 1NB,E08000021,False,False,False,,,14085892,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/14085892,,,False,True,False
EDGE OF NOWHERE LTD,54.962685,-1.647801,NE4 7YA,E08000021,False,False,False,,,11257393,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/11257393,,,False,True,False
EDO CULTURAL VALUE AND HERITAGE ACADEMY LTD,54.992954,-1.694725,NE5 2YP,E08000021,False,False,False,,,15229596,NO ACCOUNTS FILED,"[""85520 - Cultural education""]",http://business.data.gov.uk/id/company/15229596,,,False,True,False
ELLIE COOPER LTD,55.020935,-1.644307,NE3 2AX,E08000021,False,False,False,,,07022664,MICRO ENTITY,"[""58110 - Book publishing""]",http://business.data.gov.uk/id/company/07022664,,,False,True,False
EMBRA AGAIN PRODUCTIONS LTD,54.980341,-1.600665,NE2 1DJ,E08000021,False,False,False,,,12511740,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/12511740,,,False,True,False
ENCHANTED ISLES LIMITED,54.988025,-1.603652,NE2 1JQ,E08000021,False,False,False,,,12479508,MICRO ENTITY,"[""59111 - Motion picture production activities"", ""59131 - Motion picture distribution activities""]",http://business.data.gov.uk/id/company/12479508,,,False,True,False
ESSENTIAL DJS LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,08419464,UNAUDITED ABRIDGED,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/08419464,,,False,True,False
EURYDICE GAMES LTD,55.003339,-1.606207,NE3 1PU,E08000021,False,False,False,,,11497914,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/11497914,,,False,True,False
EVA IBBOTSON ESTATES LTD,54.966348,-1.622716,NE1 4AD,E08000021,False,False,False,,,07487988,TOTAL EXEMPTION FULL,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/07487988,,,False,True,False
EVENTFUL PRODUCTION SERVICES LTD,55.035163,-1.65571,NE13 9FJ,E08000021,False,False,False,,,13679594,MICRO ENTITY,"[""74100 - specialised design activities"", ""82301 - Activities of exhibition and fair organisers"", ""82302 - Activities of conference organisers"", ""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/13679594,,,False,True,False
EXHIBITIONS BY TWAM LIMITED,54.969142,-1.624755,NE1 4JA,E08000021,False,False,False,,,12106351,TOTAL EXEMPTION FULL,"[""91012 - Archives activities"", ""91020 - Museums activities""]",http://business.data.gov.uk/id/company/12106351,,,False,True,False
Eleanor Wright,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Eliot Smith Company,54.980341,-1.600665,NE2 1DJ,E08000021,False,False,True,E08000021,Newcastle upon Tyne,09442391,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/09442391,,,True,True,False
Elizabeth Jane Klotz,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Emma Roxburgh,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Equal Arts,54.974992,-1.610437,NE1 8AX,E08000021,False,False,True,E08000021,Newcastle upon Tyne,01992359,TOTAL EXEMPTION FULL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/01992359,,,True,True,False
Erin Connor,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
FACTORY 35 LIMITED,54.971956,-1.589578,NE1 2DF,E08000021,False,False,False,,,09910494,TOTAL EXEMPTION FULL,"[""74202 - Other specialist photography"", ""91011 - Library activities""]",http://business.data.gov.uk/id/company/09910494,,,False,True,False
FAITHFUL PUBLICATIONS LTD,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,13368941,UNAUDITED ABRIDGED,"[""58130 - Publishing of newspapers"", ""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/13368941,,,False,True,False
FEKA LIMITED,54.978265,-1.581608,NE6 1XQ,E08000021,False,False,False,,,12823993,MICRO ENTITY,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/12823993,,,False,True,False
FINE ART AND CRAFTS LIMITED,54.977999,-1.657092,NE4 9QD,E08000021,False,False,False,,,15676716,NO ACCOUNTS FILED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/15676716,,,False,True,False
FINECAREHEALTH LIMITED,54.984601,-1.665442,NE5 2QB,E08000021,False,False,False,,,14809680,NO ACCOUNTS FILED,"[""84120 - Regulation of health care, education, cultural and other social services, not incl. social security""]",http://business.data.gov.uk/id/company/14809680,,,False,True,False
FIRESTONE VIDEO LTD,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,12096765,UNAUDITED ABRIDGED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/12096765,,,False,True,False
FIRST ACT THEATRE,55.02368,-1.655091,NE13 9AR,E08000021,False,False,False,,,02742066,TOTAL EXEMPTION FULL,"[""90010 - Performing arts"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/02742066,,,False,True,False
FIRST AV LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,09534810,UNAUDITED ABRIDGED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/09534810,,,False,True,False
FLAT M FILMS LTD,54.963851,-1.634035,NE4 7DX,E08000021,False,False,False,,,14675187,MICRO ENTITY,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/14675187,,,False,True,False
FLOODED CELLAR PRODUCTIONS LIMITED,54.981271,-1.582564,NE6 5NX,E08000021,False,False,False,,,04398705,TOTAL EXEMPTION FULL,"[""59112 - Video production activities"", ""59113 - Television programme production activities"", ""63990 - Other information service activities n.e.c."", ""74209 - Photographic activities not elsewhere classified""]",http://business.data.gov.uk/id/company/04398705,,,False,True,False
FOCAL POINT SCHOOLS LTD,55.017448,-1.626353,NE3 2JA,E08000021,False,False,False,,,07990512,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/07990512,,,False,True,False
FOREVER A FAIRYTALE PARTY PRODUCTIONS LTD,54.99385,-1.708473,NE5 2PB,E08000021,False,False,False,,,14992287,NO ACCOUNTS FILED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/14992287,,,False,True,False
FULL BLOWN METALS LTD,54.976097,-1.597019,NE2 1AN,E08000021,False,False,False,,,08412958,TOTAL EXEMPTION FULL,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/08412958,,,False,True,False
FULL FORGE LIMITED,54.970856,-1.615895,NE1 5JE,E08000021,False,False,False,,,12750122,MICRO ENTITY,"[""59112 - Video production activities"", ""59120 - Motion picture, video and television programme post-production activities"", ""62011 - Ready-made interactive leisure and entertainment software development""]",http://business.data.gov.uk/id/company/12750122,,,False,True,False
FULLY LOADED PICTURES LIMITED,54.972661,-1.642028,NE4 6UL,E08000021,False,False,False,,,15754560,NO ACCOUNTS FILED,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/15754560,,,False,True,False
FUNK NIGHTS LTD,54.980002,-1.58453,NE6 5NS,E08000021,False,False,False,,,13893231,UNAUDITED ABRIDGED,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/13893231,,,False,True,False
Faye MacCalman,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Fertile Ground Dance Ltd,54.970186,-1.622246,NE1 4BR,E08000021,False,False,True,E08000021,Newcastle upon Tyne,10599285,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/10599285,,,True,True,False
Frank & Bird Ltd,54.979572,-1.579691,NE6 1SE,E08000021,False,False,True,E08000021,Newcastle upon Tyne,08901310,UNAUDITED ABRIDGED,"[""56302 - Public houses and bars""]",http://business.data.gov.uk/id/company/08901310,,,True,True,False
Friends of Jesmond Library,54.993462,-1.605726,NE2 2DL,E08000021,False,False,True,E08000021,Newcastle upon Tyne,08430250,TOTAL EXEMPTION FULL,"[""91011 - Library activities""]",http://business.data.gov.uk/id/company/08430250,1151935,www.jesmondlibrary.org,True,True,True
GALLIVANTING PICTURES LIMITED,55.012664,-1.634169,NE3 3HR,E08000021,False,False,False,,,04141934,MICRO ENTITY,"[""59111 - Motion picture production activities"", ""59112 - Video production activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/04141934,,,False,True,False
GATECRASH FILM LIMITED,54.991936,-1.609179,NE2 3DH,E08000021,False,False,False,,,10078780,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/10078780,,,False,True,False
GATESHEAD STADIUM PANTO LTD,55.011201,-1.623642,NE3 3PF,E08000021,False,False,False,,,11695186,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/11695186,,,False,True,False
GEMS NURSERY LTD,54.970659,-1.671585,NE15 6NJ,E08000021,False,False,False,,,14827210,MICRO ENTITY,"[""58110 - Book publishing"", ""85520 - Cultural education"", ""85590 - Other education n.e.c."", ""85600 - Educational support services""]",http://business.data.gov.uk/id/company/14827210,,,False,True,False
GEORDIE GRIPS LIMITED,54.980593,-1.589352,NE6 5AQ,E08000021,False,False,False,,,15568696,NO ACCOUNTS FILED,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/15568696,,,False,True,False
GEORDIE LIMITED,55.007688,-1.605899,NE3 1RX,E08000021,False,False,False,,,10606170,MICRO ENTITY,"[""73110 - Advertising agencies"", ""74100 - specialised design activities"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/10606170,,,False,True,False
GEORDIE VISION LTD,54.970149,-1.581302,NE6 2HL,E08000021,False,False,False,,,15906324,NO ACCOUNTS FILED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/15906324,,,False,True,False
GIBBER THEATRE LIMITED,55.008496,-1.620588,NE3 1HN,E08000021,False,False,False,,,04663289,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/04663289,,,False,True,False
GIG FOOT TOURING LTD,54.985877,-1.649649,NE4 9EH,E08000021,False,False,False,,,08842872,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/08842872,,,False,True,False
GLASSWORKS PRODUCTION LTD,54.974867,-1.594657,NE1 2NP,E08000021,False,False,False,,,12735643,MICRO ENTITY,"[""59200 - Sound recording and music publishing activities"", ""85520 - Cultural education""]",http://business.data.gov.uk/id/company/12735643,,,False,True,False
GLITCH BOOKS LIMITED,54.996259,-1.75355,NE15 9EN,E08000021,False,False,False,,,15867294,NO ACCOUNTS FILED,"[""58110 - Book publishing""]",http://business.data.gov.uk/id/company/15867294,,,False,True,False
GO KELTIE LTD,55.00311,-1.695524,NE5 1NB,E08000021,False,False,False,,,12271908,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/12271908,,,False,True,False
GOLDFINCH FINANCE LIMITED,54.991936,-1.609179,NE2 3DH,E08000021,False,False,False,,,10510413,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/10510413,,,False,True,False
GYGG LIMITED,54.985541,-1.58041,NE6 5XH,E08000021,False,False,False,,,11340944,TOTAL EXEMPTION FULL,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/11340944,,,False,True,False
Gavin Coward,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Generator North East,54.969107,-1.6050111,NE1 3DE,E08000021,False,True,False,E08000021,Newcastle upon Tyne,03670235,TOTAL EXEMPTION FULL,"[""82990 - Other business support service activities n.e.c."", ""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/03670235,,,True,True,False
Gillie Kleiman,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Glow Create CIC,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Grace Denton,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Grace Dickson,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Greshauna Hannabiell Sanders,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Greyscale Theatre Company,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Guild of Lillians,54.986458,-1.590964,NE2 1HP,E08000021,False,False,True,E08000021,Newcastle upon Tyne,05485468,MICRO ENTITY,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/05485468,,,True,True,False
HARVEY DUCKMAN LTD,54.969968,-1.613654,NE1 1JF,E08000021,False,False,False,,,15879932,NO ACCOUNTS FILED,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/15879932,,,False,True,False
HAVING A PARTY LIMITED,54.968366,-1.612141,NE1 3NG,E08000021,False,False,False,,,10944917,MICRO ENTITY,"[""47190 - Other retail sale in non-specialised stores"", ""47910 - Retail sale via mail order houses or via Internet"", ""82990 - Other business support service activities n.e.c."", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/10944917,,,False,True,False
HAWKFEST LIMITED,54.98624,-1.70534,NE15 7LU,E08000021,False,False,False,,,06008999,TOTAL EXEMPTION FULL,"[""90010 - Performing arts"", ""90020 - Support activities to performing arts"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/06008999,,,False,True,False
HEART AND SOUL TELEVISION & FILM LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,11259727,UNAUDITED ABRIDGED,"[""59112 - Video production activities""]",http://business.data.gov.uk/id/company/11259727,,,False,True,False
HELEN SHADDOCK,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
HIGH BRIDGE CIC,54.97181,-1.612827,NE1 1EW,E08000021,False,False,False,,,13420914,TOTAL EXEMPTION FULL,"[""90040 - Operation of arts facilities""]",http://business.data.gov.uk/id/company/13420914,,,False,True,False
HOLY TRINITY ROMANIAN CHURCH NEWCASTLE C.I.C.,54.974191,-1.677636,NE15 6UN,E08000021,False,False,False,,,14826191,NO ACCOUNTS FILED,"[""85510 - Sports and recreation education"", ""85520 - Cultural education"", ""94910 - Activities of religious organizations"", ""96040 - Physical well-being activities""]",http://business.data.gov.uk/id/company/14826191,,,False,True,False
HOMEPORTFOLIO HQ LIMITED,54.998722,-1.764194,NE15 9FW,E08000021,False,False,False,,,14708415,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/14708415,,,False,True,False
HONEYBIRD STUDIOS LIMITED,54.968366,-1.612141,NE1 3NG,E08000021,False,False,False,,,14621835,NO ACCOUNTS FILED,"[""59111 - Motion picture production activities"", ""59112 - Video production activities"", ""59113 - Television programme production activities""]",http://business.data.gov.uk/id/company/14621835,,,False,True,False
HOOK PICTURES LTD,54.983025,-1.648361,NE4 9DD,E08000021,False,False,False,,,08232842,TOTAL EXEMPTION FULL,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/08232842,,,False,True,False
HOUSE54 STUDIOS LTD,55.006597,-1.624828,NE3 1DX,E08000021,False,False,False,,,15324177,NO ACCOUNTS FILED,"[""59111 - Motion picture production activities""]",http://business.data.gov.uk/id/company/15324177,,,False,True,False
HOW TO LIVE LIMITED,54.974446,-1.64025,NE4 5NL,E08000021,False,False,False,,,08909102,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/08909102,,,False,True,False
HOWARD LEE LIMITED,54.961211,-1.644612,NE4 7YL,E08000021,False,False,False,,,13983990,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/13983990,,,False,True,False
HUMBLE ANGEL RECORDS LIMITED,55.007932,-1.595405,NE7 7LX,E08000021,False,False,False,,,11128988,TOTAL EXEMPTION FULL,"[""90010 - Performing arts""]",http://business.data.gov.uk/id/company/11128988,,,False,True,False
HUSH ENTERTAINMENTS LTD,54.976515,-1.640856,NE4 5NS,E08000021,False,False,False,,,11808904,TOTAL EXEMPTION FULL,"[""46160 - Agents involved in the sale of textiles, clothing, fur, footwear and leather goods"", ""59200 - Sound recording and music publishing activities"", ""90020 - Support activities to performing arts"", ""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/11808904,,,False,True,False
Hal Branson,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Hand Of Ltd,54.969416,-1.606786,NE1 3XP,E08000021,False,False,True,E08000021,Newcastle upon Tyne,10156422,TOTAL EXEMPTION FULL,"[""85520 - Cultural education"", ""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/10156422,,,True,True,False
Hannah Guy,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Hannah Murphy,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Harriet Ghost,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Heather Moore,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Henna Asikainen,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
I2CONTENT LIMITED,54.981972,-1.603869,NE2 1SQ,E08000021,False,False,False,,,10567461,TOTAL EXEMPTION FULL,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/10567461,,,False,True,False
I2DIGITAL LIMITED,54.981972,-1.603869,NE2 1SQ,E08000021,False,False,False,,,10567462,TOTAL EXEMPTION FULL,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/10567462,,,False,True,False
I2E-COMMS LTD,54.981972,-1.603869,NE2 1SQ,E08000021,False,False,False,,,10672414,TOTAL EXEMPTION FULL,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/10672414,,,False,True,False
ICR PUBLICATIONS LTD,54.972661,-1.642028,NE4 6UL,E08000021,False,False,False,,,11103162,MICRO ENTITY,"[""58110 - Book publishing"", ""58141 - Publishing of learned journals"", ""58190 - Other publishing activities"", ""69202 - Bookkeeping activities""]",http://business.data.gov.uk/id/company/11103162,,,False,True,False
IHDY LIMITED,54.978756,-1.641977,NE4 5PE,E08000021,False,False,False,,,15279690,NO ACCOUNTS FILED,"[""59200 - Sound recording and music publishing activities"", ""90010 - Performing arts""]",http://business.data.gov.uk/id/company/15279690,,,False,True,False
INCLUSION HAIR NETWORK CIC,54.974474,-1.592054,NE1 2PL,E08000021,False,False,False,,,14064796,MICRO ENTITY,"[""85520 - Cultural education"", ""96020 - Hairdressing and other beauty treatment""]",http://business.data.gov.uk/id/company/14064796,,,False,True,False
INCOMMON CIC,54.977984,-1.71365,NE15 8DP,E08000021,False,False,False,,,13762486,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/13762486,,,False,True,False
INNIT STUDIOS LTD,54.978414,-1.638855,NE4 5LQ,E08000021,False,False,False,,,13826697,MICRO ENTITY,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/13826697,,,False,True,False
INPRESS LIMITED,54.969796,-1.610328,NE1 1LF,E08000021,False,False,False,,,04537051,UNAUDITED ABRIDGED,"[""58190 - Other publishing activities""]",http://business.data.gov.uk/id/company/04537051,,,False,True,False
INSIGHT OUT ENTERTAINMENT LIMITED,54.974253,-1.591008,NE6 1LH,E08000021,False,False,False,,,11485379,MICRO ENTITY,"[""90020 - Support activities to performing arts""]",http://business.data.gov.uk/id/company/11485379,,,False,True,False
INSTITUTE OF AMATEUR CINEMATOGRAPHERS LIMITED(THE),55.023848,-1.620913,NE3 2DT,E08000021,False,False,False,,,00269085,TOTAL EXEMPTION FULL,"[""63990 - Other information service activities n.e.c."", ""90030 - Artistic creation"", ""94990 - Activities of other membership organizations n.e.c.""]",http://business.data.gov.uk/id/company/00269085,,,False,True,False
INTERNATIONAL CENTRE FOR LIFE TRUST,54.967662,-1.620548,NE1 4EP,E08000021,False,False,False,,,03225820,GROUP,"[""74909 - Other professional, scientific and technical activities n.e.c."", ""85590 - Other education n.e.c."", ""91030 - Operation of historical sites and buildings and similar visitor attractions""]",http://business.data.gov.uk/id/company/03225820,,,False,True,False
Inpress Ltd,54.969824,-1.6101433,,,True,False,False,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
International Guitar Foundation & Festivals,,,N1 9AG,,False,False,True,E08000021,Newcastle upon Tyne,02932317,MICRO ENTITY,"[""90030 - Artistic creation""]",http://business.data.gov.uk/id/company/02932317,,,True,True,False
Isobel Hughes,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
Izaak Gledhill,,,,,False,False,True,E08000021,Newcastle upon Tyne,,,null,,,,True,False,False
