Funding Org:Name,Grant Programme:Title,Culture Programme,COVID
Point North,Community Arts and Culture Grants Programme,True,
Point North,Community Grants Funding Programme,,
Point North,Darlington Building Society,,
Point North,Donor Direct Support Funding,,
Point North,Donor Directed Funding (Anonymous Donation),,
Point North,EDF Energy Renewables - Boundary Lane Wind Farm Community Benefits Fund,,
Point North,Greener Communities,,
Point North,Know Your Neighbourhood,,
Point North,Made By Sport Fund,,
Point North,NHS Health Improvement Fund,,
Point North,Northumbrian Water Community Fund,,
Point North,Poverty Hurts,,
Point North,Sherburn House Charity Community Grants Fund,,
Point North,Stanley Community Fund,,
Point North,UMi Funding Programme,,
Point North,Warm Spaces,,
Postcode Active Trust,Regular Award,,
Postcode Children Trust,Regular Award,,
Postcode Neighbourhood Trust,Community Grant,,
Power to Change Trust,C-19 Emergency Trading Income Support Scheme (TISS),,
Power to Change Trust,COVID-19 Community Led Organisation Recovery Scheme (CCLORS),,
Power to Change Trust,Covid-19 Renewal Initiative,,
Power to Change Trust,Leading The Way 2 (LTW),,
Power to Change Trust,Resilient Communities Fund (RCF),,
Power to Change Trust,Trade Up (TU),,
Power to Change Trust,Trade Up 2.0,,
Power to Change Trust,W.sale / Blended - Community Shares (CSh),,
Prudence Trust,,,
Rank Foundation,Rank Golden Awards,,
Rank Foundation,Time to Shine Grant,,
Rothschild Foundation,Special interest,,
Sam and Bella Sebba Charitable Foundation,"Migrants, Refugees and Asylum Seekers",,
Seafarers' Charity,Main Grants Programme,,
SHAREGIFT,,,
Skinners' Charity Foundation,"Arts, Heritage and Communities",,
Smallwood Trust,DCMS Community Match programme,,
Sport England,Active Environments,,
Sport England,Capital Transition Place Funding - Exch,,
Sport England,COVID-19 Community Emergency Fund,,
Sport England,COVID-19 Community Leisure Recovery Fund,,
Sport England,COVID-19 Innovative Solutions,,
Sport England,COVID-19 National Leisure Recovery Fund,,
Sport England,COVID-19 Sport Winter Survival Package,,
Sport England,Crowdfunder: Active Together,,
Sport England,Facilities and Planning Monitoring and Evaluation,,
Sport England,Flood Relief 2021,,
Sport England,Local Delivery Pilots,,
Sport England,Queen's Platinum Jubilee Activity Fund,,
Sport England,Return to Play - Community Asset Fund,,
Sport England,Return to Play - Small Grants,,
Sport England,School Games Organisers,,
Sport England,Secondary Teacher Training,,
Sport England,Small Grants,,
Sport England,Strategic Facilities,,
Sport England,Swimming Pool Support Fund,,
Sport England,This Girl Can - Local Activation,,
Sport England,This Girl Can Community Fund,,
Sport England,Toyota Parasport Fund,,
Sport England,WEURO Legacy Fund,,
The Archbishops' Council ,Heritage Stimulus Major Works Fund 2021 - Covid 19,,
The Badur Foundation,,,
The Ballinger Charitable Trust,,,
The Bishop Radford Trust,,,
The Charity of Sir Richard Whittington,Church and Communities - Stronger Communities,,
The Childhood Trust,Champions for Children 2020 - Covid-19,,
The Childhood Trust,Champions for Children 2021,,
The Childhood Trust,Champions for Children 2022,,
The Childhood Trust,Champions for Children 2023,,
The Childhood Trust,Christmas Challenge 2022,,
The Clothworkers Foundation,Large Grants Programme,,
The Clothworkers' Foundation,"Research, Development and Partnerships",,
The Clothworkers' Foundation,Clothworkers' Emergency Capital Programme,,
The Clothworkers' Foundation,Large Grants Programme,,
The Clothworkers' Foundation,Small Grants Programme,,
The Coutts Foundation,Women & Girls,,
The Dulverton Trust,Africa,,
The Dulverton Trust,General Welfare,,
The Dulverton Trust,Heritage,,
The Dunhill Medical Trust,Capability Development Programme,,
The Earl of Northampton's Charity,Church and Communities - Stronger Communities,,
The Fore,,,
The Foyle Foundation,Main Grants Scheme (Capital £75K +),,
The Foyle Foundation,Main Grants Scheme,,
The Foyle Foundation,School Library Scheme,,
The Foyle Foundation,Small Grants Scheme,,
The Greggs Foundation,Community Hub Programme Core Funding,,
The Greggs Foundation,Large Community Grants,,
The Greggs Foundation,North East Core Funding,,
The Greggs Foundation,Small Community Grants,,
The Henry Smith Charity ,Community Match Challenge,,
The Henry Smith Charity ,COVID-19 Long-Term Support,,
The Henry Smith Charity ,COVID-19,,
The Henry Smith Charity ,Flex Fund,,
The Henry Smith Charity ,Holiday Grant,,
The Henry Smith Charity ,Improving Lives,,
The Henry Smith Charity ,Strengthening Communities,,
The Joseph Rank Trust,,,
The Leathersellers' Foundation,Small Grants,,
The MSE Charity,Living with Long Term Challenges,,
The National Archives,Cataloguing Grants,,
The National Lottery Community Fund,Coronavirus Community Support Fund – Standard,,
The National Lottery Community Fund,Local Connections Fund Round 2,,
The National Lottery Community Fund,National Lottery Awards for All England,,
The National Lottery Community Fund,National Lottery Awards for All,,
The National Lottery Community Fund,National Lottery COVID-19 Fund - Over £10000,,
The National Lottery Community Fund,National Lottery COVID-19 Fund - Up to £10000,,
The National Lottery Community Fund,RC England Wide,,
The National Lottery Community Fund,RC North East and Cumbria Region,,
The National Lottery Community Fund,Together for Our Planet - UK,,
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £10,000 to £250,000",True,
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £250,000 to £5million",True,
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £3,000 to £10,000",True,
The National Lottery Heritage Fund,"National Lottery Heritage Grants £10,000 to £250,000",True,
The National Lottery Heritage Fund,"National Lottery Heritage Grants £250,000 to £10 million",True,
The National Lottery Heritage Fund,Dynamic Collections,True,
The National Lottery Heritage Fund,Future Parks Accelerator,,
The National Lottery Heritage Fund,Heritage Emergency Fund,,
The National Lottery Heritage Fund,Resilience and Inclusion,,
The Pilgrim Trust,Social Welfare,,
The Segelman Trust,,,
The Shears Foundation,,,
The Trussell Trust,Coronavirus,,
The Trussell Trust,Covid19 Emergency Grants,,
The Trussell Trust,Emergency grant,,
The Trussell Trust,Financial Inclusion,,
The Trussell Trust,Organising & Local Mobilisation,,
The Trussell Trust,Strategic Facilities,,
The Trussell Trust,Strategic Resources,,
The Tudor Trust,,,
True Colours Trust,,,
Trusthouse Charitable Foundation,Major Grants,,
Trusthouse Charitable Foundation,Small Grant,,
Trusthouse Charitable Foundation,Small Grants,,
Tuixen Foundation,,,
UK Community Foundations,NET Coronavirus Appeal,,
Virgin Money Foundation,#iwill Take Action Fund ,,
Virgin Money Foundation,#iwill Take Action Fund,,
Virgin Money Foundation,Colleagues in the Community,,
Virgin Money Foundation,Community Anchors' Fund,,
Virgin Money Foundation,Community Resilience Fund ,,
Virgin Money Foundation,Glasgow Community Anchors' Fund,,
Virgin Money Foundation,Leading the Way,,
Virgin Money Foundation,Volunteer and Connect Fund,,
Wates Family Enterprise Trust,,,
Wolfson Foundation,Arts and Humanities,True,
Wolfson Foundation,Education,,
Wolfson Foundation,Health and Disability,,
Wolfson Foundation,Science and Medicine,,
