lsoa11cd,lsoa11nm,IMD Rank,IMD Decile,IMD Score,IMD Rank 0,IMD Decile 0,Income Score,Income Rank,Income Decile,Employment Score,Employment Rank,Employment Decile,Education Score,Education Rank,Education Decile,Health Deprivation and Disability Score,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Score,Crime Rank,Crime Decile,Barriers to Housing and Services Score,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Score,Living Environment Rank,Living Environment Decile,Income Deprivation Affecting Children Index Score,Income Deprivation Affecting Children Index Rank,Income Deprivation Affecting Children Index Decile,Income Deprivation Affecting Older People Score,Income Deprivation Affecting Older People Rank,Income Deprivation Affecting Older People Decile,Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank,Children and Young People Sub-domain Decile,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank,Adult Skills Sub-domain Decile,Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank,Geographical Barriers Sub-domain Decile,Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank,Wider Barriers Sub-domain Decile,Indoors Sub-domain Score,Indoors Sub-domain Rank,Indoors Sub-domain Decile,Outdoors Sub-domain Score,Outdoors Sub-domain Rank,Outdoors Sub-domain Decile,Total Population,Dependent Children aged 0-15,Population aged 16-59,Older population aged 60 and over,Working age population 18-59/64
E01008452,"Newcastle upon Tyne 016D",21951,7,12.188,21951,7,0.081,19434,6,0.051,24442,8,5.738,26457,9,0.064,15032,5,0.65,7084,3,15.011,22999,8,14.056,20063,7,0.084,21634,7,0.134,15677,5,-0.65,25915,8,0.22,25088,8,-0.019,16021,5,-0.494,17816,6,-0.031,16957,6,-0.224,19055,6,1454,260,882,312,867.75
E01008453,"Newcastle upon Tyne 022E",18198,6,15.746,18198,6,0.1,16374,5,0.081,16158,5,6.736,25325,8,0.523,8831,3,0.456,9681,3,10.094,28513,9,13.625,20473,7,0.094,20200,7,0.138,15324,5,-0.436,22972,7,0.213,25909,8,-0.574,25138,8,-0.444,17574,6,0.006,16356,5,-0.378,21685,7,1687,349,961,377,976
E01008455,"Newcastle upon Tyne 022G",9467,3,27.205,9467,3,0.179,8112,3,0.126,8945,3,24.141,11272,4,0.699,6896,3,0.868,4718,2,13.881,24375,8,14.179,19962,7,0.14,14972,5,0.362,2721,1,0.338,10912,4,0.342,11535,4,-1.389,31818,10,1.163,9839,3,-0.094,17936,6,-0.087,16754,6,1690,526,1011,153,989.25
E01008456,"Newcastle upon Tyne 004B",3494,2,42.935,3494,2,0.294,2401,1,0.217,2409,1,51.68,2932,1,1.16,3104,1,0.542,8507,3,11.573,27053,9,3.555,30712,10,0.334,3112,1,0.416,1586,1,0.971,3974,2,0.491,2381,1,-0.848,28466,9,0.327,13577,5,-1.39,31153,10,-0.452,22801,7,1472,314,852,306,841.75
E01008457,"Newcastle upon Tyne 004C",2267,1,49.444,2267,1,0.317,1756,1,0.254,1176,1,42.456,4765,2,1.84,574,1,0.314,11724,4,15.393,22490,7,2.384,31706,10,0.437,854,1,0.306,4460,2,0.758,5874,2,0.452,3949,2,-0.397,22477,7,0.62,12246,4,-1.74,32141,10,-0.608,25017,8,1606,306,895,405,905.25
E01008458,"Newcastle upon Tyne 004D",20406,7,13.573,20406,7,0.054,25153,8,0.069,18954,6,7.509,24473,8,0.119,14214,5,0.086,15341,5,32.524,5363,2,9.709,24347,8,0.055,26536,9,0.081,23168,8,-0.691,26404,9,0.256,21048,7,1.291,2107,1,-1.897,25377,8,-0.149,18824,6,-0.815,27583,9,1637,259,865,513,891.5
E01008459,"Newcastle upon Tyne 004E",478,1,65.776,478,1,0.435,189,1,0.303,419,1,72.642,626,1,1.954,399,1,0.465,9548,3,19.452,17321,6,2.126,31909,10,0.48,437,1,0.439,1243,1,1.381,1458,1,0.559,630,1,-0.18,18928,6,1.096,10109,4,-1.548,31689,10,-0.735,26634,9,1885,608,1010,267,978
E01008460,"Newcastle upon Tyne 004F",3406,2,43.271,3406,2,0.269,3268,1,0.201,3070,1,66.913,1003,1,1.112,3453,2,0.386,10662,4,19.712,16989,6,2.378,31712,10,0.341,2879,1,0.255,6672,3,1.431,1250,1,0.518,1530,1,-0.036,16288,5,0.776,11500,4,-1.27,30650,10,-0.812,27538,9,1477,328,835,314,809
E01033543,"Newcastle upon Tyne 024G",13862,5,20.586,13862,5,0.024,31738,10,0.023,31885,10,14.327,17880,6,0.501,9072,3,1.756,474,1,27.101,9169,3,39.654,4374,2,0.018,32114,10,0.153,13805,5,0.429,9698,3,0.141,31024,10,-0.271,20431,7,2.908,4599,2,0.996,3899,2,0.301,10724,4,1872,93,1735,44,1729.75
E01033545,"Newcastle upon Tyne 024H",7969,3,30.133,7969,3,0.084,18845,6,0.061,21173,7,15.121,17275,6,1.108,3476,2,2.295,59,1,25.571,10595,4,45.948,2683,1,0.122,16879,6,0.411,1654,1,0.43,9677,3,0.178,28986,9,-0.219,19569,6,2.491,5562,2,1.12,2973,1,0.59,7513,3,1522,47,1404,71,1448.5
E01033547,"Newcastle upon Tyne 025E",649,1,63.175,649,1,0.376,633,1,0.274,797,1,82.415,206,1,1.511,1428,1,0.959,3855,2,22.055,14262,5,12.454,21555,7,0.44,819,1,0.36,2789,1,1.513,999,1,0.608,169,1,-0.116,17730,6,1.516,8529,3,-0.852,27787,9,0.472,8688,3,2126,527,1092,507,1125
E01033548,"Newcastle upon Tyne 023G",10858,4,24.849,10858,4,0.158,9777,3,0.089,14523,5,11.679,20251,7,1.179,2994,1,0.324,11585,4,26.493,9717,3,17.26,17388,6,0.376,1930,1,0.335,3453,2,-0.1,17738,6,0.251,21645,7,0.367,9759,3,1.03,10425,4,-0.184,19384,6,0.404,9449,3,1261,82,1010,169,1065.75
E01033550,"Newcastle upon Tyne 002F",31909,10,3.505,31909,10,0.019,32328,10,0.018,32431,10,0.669,32374,10,-0.778,26768,9,-0.677,25970,8,23.526,12636,4,4.369,29960,10,0.016,32227,10,0.063,26625,9,-1.564,32134,10,0.121,31649,10,0.908,4063,2,-3.962,31434,10,-1.698,32056,10,-0.24,19316,6,2095,606,1285,204,1262.5
E01033551,"Newcastle upon Tyne 002G",31973,10,3.396,31973,10,0.019,32333,10,0.03,30627,10,0.444,32572,10,-0.945,28365,9,-0.413,22600,7,20.026,16616,6,5.361,28955,9,0.025,31351,10,0.022,32546,10,-2.094,32774,10,0.121,31652,10,0.668,6177,2,-2.827,28946,9,-1.523,31608,10,-0.125,17409,6,1782,336,912,534,919
E01033553,"Newcastle upon Tyne 023H",12912,4,21.809,12912,4,0.045,27396,9,0.028,31082,10,31.232,8100,3,1.23,2709,1,0.336,11401,4,19.082,17768,6,49.042,2066,1,0.238,7618,3,0.435,1285,1,1.247,2114,1,0.185,28367,9,-1.071,30306,10,2.17,6425,2,1.306,1863,1,0.261,11257,4,3796,39,3674,83,3671.75
E01033554,"Newcastle upon Tyne 024I",11431,4,23.9,11431,4,0.095,17109,6,0.061,21193,7,16.55,16156,5,0.667,7217,3,1.208,2192,1,22.492,13758,5,41.182,3888,2,0.195,10406,4,0.523,504,1,0.523,8564,3,0.181,28765,9,-0.457,23381,8,2.267,6148,2,1.092,3163,1,0.152,12836,4,2777,74,2587,116,2771.5
E01033556,"Newcastle upon Tyne 022H",16003,5,18.158,16003,5,0.084,18908,6,0.05,24773,8,35.828,6500,2,0.454,9662,3,0.48,9342,3,20.785,15728,5,15.464,18837,6,0.126,16428,6,0.277,5620,2,1.293,1869,1,0.257,20938,7,-0.29,20751,7,1.624,8148,3,0.076,15262,5,-0.25,19477,6,3830,474,3118,238,3108
