lsoa11cd,lsoa11nm,IMD Rank,IMD Decile,IMD Score,IMD Rank 0,IMD Decile 0,Income Score,Income Rank,Income Decile,Employment Score,Employment Rank,Employment Decile,Education Score,Education Rank,Education Decile,Health Deprivation and Disability Score,Health Deprivation and Disability Rank,Health Deprivation and Disability Decile,Crime Score,Crime Rank,Crime Decile,Barriers to Housing and Services Score,Barriers to Housing and Services Rank,Barriers to Housing and Services Decile,Living Environment Score,Living Environment Rank,Living Environment Decile,Income Deprivation Affecting Children Index Score,Income Deprivation Affecting Children Index Rank,Income Deprivation Affecting Children Index Decile,Income Deprivation Affecting Older People Score,Income Deprivation Affecting Older People Rank,Income Deprivation Affecting Older People Decile,Children and Young People Sub-domain Score,Children and Young People Sub-domain Rank,Children and Young People Sub-domain Decile,Adult Skills Sub-domain Score,Adult Skills Sub-domain Rank,Adult Skills Sub-domain Decile,Geographical Barriers Sub-domain Score,Geographical Barriers Sub-domain Rank,Geographical Barriers Sub-domain Decile,Wider Barriers Sub-domain Score,Wider Barriers Sub-domain Rank,Wider Barriers Sub-domain Decile,Indoors Sub-domain Score,Indoors Sub-domain Rank,Indoors Sub-domain Decile,Outdoors Sub-domain Score,Outdoors Sub-domain Rank,Outdoors Sub-domain Decile,Total Population,Dependent Children aged 0-15,Population aged 16-59,Older population aged 60 and over,Working age population 18-59/64
E01008353,"Newcastle upon Tyne 006A",8463,3,29.067,8463,3,0.228,5095,2,0.165,5335,2,18.711,14624,5,0.662,7270,3,0.539,8551,3,11.939,26629,9,7.686,26516,9,0.295,4616,2,0.202,9788,3,0.198,12941,4,0.301,15843,5,-0.472,23633,8,-0.129,15864,5,-0.719,26506,9,-0.174,18205,6,1580,309,874,397,885.75
E01008354,"Newcastle upon Tyne 005B",16335,5,17.774,16335,5,0.129,12601,4,0.121,9580,3,1.505,31449,10,0.584,8128,3,0.133,14598,5,9.122,29406,9,7.365,26885,9,0.093,20341,7,0.214,9023,3,-1.31,31230,10,0.158,30253,10,-0.681,26593,9,-0.546,18107,6,-0.424,22885,7,-0.646,25505,8,1707,353,1054,300,1041
E01008355,"Newcastle upon Tyne 006B",30486,10,5.02,30486,10,0.052,25751,8,0.034,29571,10,0.6,32441,10,0.031,15538,5,-0.954,28735,9,5.743,31677,10,8.998,25094,8,0.028,31022,10,0.136,15524,5,-1.458,31826,10,0.1,32151,10,-1.442,31975,10,-0.93,20307,7,-0.149,18826,6,-1.105,30297,10,1557,271,926,360,928.25
E01008356,"Newcastle upon Tyne 006C",10927,4,24.74,10927,4,0.147,10714,4,0.191,3645,2,6.586,25504,8,0.774,6143,2,-0.259,20479,7,19.558,17189,6,1.857,32117,10,0.096,19991,7,0.118,17542,6,-0.863,28225,9,0.253,21364,7,0.146,13150,5,0.141,14455,5,-1.524,31610,10,-0.828,27739,9,1496,218,889,389,908.25
E01008357,"Newcastle upon Tyne 002D",32112,10,3.196,32112,10,0.032,30520,10,0.034,29491,9,0.566,32466,10,-0.677,25682,8,-0.262,20517,7,11.8,26779,9,2.158,31886,10,0.02,31880,10,0.05,29106,9,-1.658,32343,10,0.118,31731,10,0.037,15026,5,-1.872,25247,8,-1.732,32126,10,-0.67,25803,8,1554,226,768,560,789.75
E01008358,"Newcastle upon Tyne 002E",19411,6,14.537,19411,6,0.105,15597,5,0.071,18502,6,3.776,28793,9,0.259,12194,4,-0.335,21532,7,8.956,29545,9,34.097,6640,3,0.095,20045,7,0.194,10430,4,-1.182,30604,10,0.219,25263,8,-0.88,28770,9,-0.33,16973,6,1.026,3686,2,-0.609,25038,8,1538,240,919,379,937
E01008359,"Newcastle upon Tyne 018B",13459,5,21.127,13459,5,0.114,14426,5,0.076,17304,6,15.102,17284,6,0.892,5118,2,0.88,4589,2,13.054,25327,8,19.797,15447,5,0.255,6635,3,0.221,8609,3,0.387,10258,4,0.197,27434,9,-1.367,31738,10,0.979,10632,4,0.269,12298,4,-0.088,16766,6,1604,142,1352,110,1332.75
E01008360,"Newcastle upon Tyne 018C",21835,7,12.298,21835,7,0.08,19647,6,0.054,23505,8,1.756,31157,10,0.783,6063,2,-0.073,17739,6,9.94,28655,9,15.348,18915,6,0.238,7588,3,0.136,15522,5,-1.025,29575,10,0.135,31247,10,-0.752,27442,9,-0.212,16308,5,0.036,15871,5,-0.179,18300,6,1649,106,1426,117,1425
E01008361,"Newcastle upon Tyne 018D",12393,4,22.497,12393,4,0.145,10931,4,0.092,13940,5,17.724,15318,5,1.004,4206,2,0.348,11191,4,12.761,25690,8,17.725,17031,6,0.384,1779,1,0.364,2700,1,0.517,8646,3,0.215,25692,8,-1.092,30438,10,0.799,11396,4,0.07,15365,5,0.068,14200,5,1677,148,1426,103,1418.75
E01008362,"Newcastle upon Tyne 018E",13212,5,21.45,13212,5,0.123,13338,5,0.073,18034,6,11.224,20694,7,1.448,1664,1,0.399,10460,4,14.557,23592,8,10.999,23006,8,0.318,3664,2,0.395,1978,1,0.057,15124,5,0.208,26394,9,-0.967,29557,9,1.13,9983,4,-0.288,20950,7,-0.207,18770,6,1893,110,1638,145,1624.75
E01008363,"Newcastle upon Tyne 012E",24663,8,9.883,24663,8,0.062,23144,8,0.065,20204,7,5.027,27260,9,0.193,13165,5,-0.407,22518,7,10.406,28215,9,15.361,18905,6,0.073,23402,8,0.069,25368,8,-0.67,26166,8,0.207,26460,9,-0.174,18830,6,-1.388,22829,7,-0.179,19310,6,0.187,12320,4,1607,164,956,487,979.25
E01008364,"Newcastle upon Tyne 018F",21239,7,12.82,21239,7,0.067,22233,7,0.046,26162,8,2.198,30667,10,0.677,7098,3,0.051,15874,5,8.473,29960,10,32.815,7283,3,0.106,18727,6,0.223,8443,3,-0.814,27757,9,0.106,32017,10,-2.403,32832,10,-0.06,15503,5,0.136,14353,5,1.418,1904,1,1760,149,1462,149,1440.75
E01008365,"Newcastle upon Tyne 012F",28028,9,7.234,28028,9,0.027,31310,10,0.031,30350,10,0.409,32601,10,-0.523,23726,8,0.752,5920,2,4.01,32368,10,23.661,12663,4,0.007,32791,10,0.075,24173,8,-1.899,32660,10,0.113,31863,10,-1.187,30965,10,-1.708,24455,8,-0.569,24787,8,1.35,2217,1,1628,349,979,300,993.75
E01008366,"Newcastle upon Tyne 013A",29906,10,5.598,29906,10,0.019,32346,10,0.011,32734,10,7.56,24416,8,-0.109,17716,6,-0.385,22244,7,17.862,19315,6,11.254,22725,7,0.018,32104,10,0.105,19321,6,-0.055,16987,6,0.08,32513,10,-0.628,25915,8,1.534,8462,3,-0.174,19212,6,-0.372,21573,7,2114,92,1849,173,1831.5
E01008367,"Newcastle upon Tyne 017A",27068,9,7.996,27068,9,0.041,28361,9,0.042,27212,9,1.068,31945,10,-0.007,16119,5,-0.131,18600,6,19.768,16924,6,18.405,16503,6,0.017,32139,10,0.141,15034,5,-1.252,30965,10,0.119,31710,10,-0.348,21701,7,1.511,8539,3,0.076,15266,5,0.132,13129,4,2285,96,1998,191,1982
E01008368,"Newcastle upon Tyne 017B",26450,9,8.475,26450,9,0.024,31763,10,0.021,32159,10,0.871,32155,10,0.387,10523,4,0.332,11466,4,17.841,19346,6,17.607,17132,6,0.02,31912,10,0.103,19567,6,-1.201,30716,10,0.079,32526,10,-0.725,27125,9,1.642,8087,3,0.233,12823,4,-0.319,20674,7,1633,77,1428,128,1405.75
E01008369,"Newcastle upon Tyne 013B",26386,9,8.53,26386,9,0.025,31641,10,0.026,31416,10,2.503,30308,10,0.449,9730,3,0.276,12300,4,15.964,21727,7,16.408,18057,6,0.035,29936,10,0.086,22227,7,-0.704,26556,9,0.076,32575,10,-0.921,29153,9,1.412,8910,3,0.195,13371,5,-0.419,22325,7,2026,125,1757,144,1739.75
E01008370,"Newcastle upon Tyne 017C",26002,8,8.839,26002,8,0.06,23672,8,0.033,29875,10,2.343,30483,10,0.294,11713,4,-0.022,17027,6,16.327,21260,7,14.003,20106,7,0.073,23495,8,0.142,14888,5,-0.761,27218,9,0.097,32237,10,-0.376,22137,7,0.79,11433,4,-0.168,19116,6,0.012,15095,5,1799,124,1275,400,1287.75
E01008371,"Newcastle upon Tyne 013C",31953,10,3.434,31953,10,0.016,32488,10,0.019,32289,10,0.069,32829,10,-0.887,27866,9,0.236,12924,4,10.468,28151,9,8.342,25815,8,0.012,32523,10,0.023,32513,10,-2.547,32839,10,0.069,32651,10,-0.148,18320,6,-1.488,23334,8,-0.77,27047,9,-0.043,16008,5,1368,164,768,436,777
E01008372,"Newcastle upon Tyne 013D",23204,8,11.107,23204,8,0.058,24105,8,0.042,27179,9,3.495,29136,9,0.799,5910,2,-0.269,20601,7,16.033,21627,7,15.695,18665,6,0.019,31973,10,0.237,7661,3,-0.608,25348,8,0.134,31266,10,-1.588,32275,10,1.679,7968,3,0.145,14204,5,-0.384,21781,7,1873,81,1610,182,1621.75
E01008373,"Newcastle upon Tyne 013E",25191,8,9.455,25191,8,0.013,32674,10,0.007,32807,10,16.003,16576,6,0.577,8203,3,-0.698,26204,8,14.047,24175,8,23.925,12473,4,0.172,12149,4,0.12,17332,6,0.573,7941,3,0.083,32466,10,-1.158,30828,10,1.122,10013,4,0.621,7685,3,-0.555,24261,8,2506,32,2407,67,2424.5
E01008374,"Newcastle upon Tyne 008B",20236,7,13.724,20236,7,0.109,15135,5,0.094,13625,5,9.811,22028,7,0.207,12961,4,-0.476,23446,8,8.688,29786,10,6.705,27575,9,0.127,16374,5,0.132,15899,5,-0.41,22636,7,0.265,20024,7,-0.395,22449,7,-1.284,22306,7,-0.648,25743,8,-0.398,21999,7,1537,298,877,362,882
E01008375,"Newcastle upon Tyne 008C",6623,3,33.112,6623,3,0.218,5656,2,0.195,3385,2,29.905,8615,3,1.001,4220,2,0.384,10685,4,12.039,26522,9,3.826,30454,10,0.191,10661,4,0.286,5239,2,0.327,11052,4,0.401,6730,3,-0.711,26951,9,0.288,13766,5,-1.335,30950,10,-0.416,22285,7,1520,347,876,297,891.25
