funder,grant_programme,total_grants,funding
Julia Rausing Trust,Foodbank Fund,2,19600
Julia Rausing Trust,General,2,52000
Julia Rausing Trust,Hospices 2023,1,450000
Julia Rausing Trust,Youth Centre Recovery Fund,2,119281
Leeds Community Foundation,Community Partnering Fund,1,5000
Lloyd's Register Foundation,,3,266003.24
Lloyds Bank Foundation for England and Wales,Racial Equity,1,75000
Lloyds Bank Foundation for England and Wales,Recovery,2,100000
Lloyds Bank Foundation for England and Wales,Renew,5,250000
Lloyds Bank Foundation for England and Wales,Variation,16,87459
Masonic Charitable Foundation,Festival,2,11250
Masonic Charitable Foundation,Freemasons COVID-19 Community Fund,1,20000
Masonic Charitable Foundation,Hospice,3,3650
Masonic Charitable Foundation,Large Grant,1,44977
Masonic Charitable Foundation,Matched Funding,4,12100
Masonic Charitable Foundation,Small Grant,3,45000
McCarthy Stone Foundation,2022 Christmas Connections,1,430
McCarthy Stone Foundation,2022 Spring Awards,1,5000
McCarthy Stone Foundation,2023 Christmas Connections,1,370
McCarthy Stone Foundation,2023 Spring Community Grants,1,4000
McCarthy Stone Foundation,2023 Winter Warm Spaces,1,750
Mercers' Charitable Foundation,COVID-19 Rapid Response Fund for Existing Grantholders,1,7727
Mercers' Charitable Foundation,Church and Communities - Better Outcomes for Families,1,55919
Millfield House Foundation,,6,473296
Ministry of Defence,Armed Forces Charities (Armed Forces Covenant Fund Trust),7,966203
Ministry of Defence,Armed Forces Day FY21/22,1,3320
Ministry of Defence,COVID19 Impact Fund,1,7574
Ministry of Defence,HMT/AFCFT fund for Afghan veterans,1,35000
Ministry of Justice,ALB - YJB - Reducing Serious Youth Violence - Newcastle Pathfinder,1,40000
Ministry of Justice,Cafcass: Supported Child Contact Centres (SCCC),1,2670
Ministry of Justice,Pathfinder - Reducing Serious Youth Violence: Newcastle,1,80000
Ministry of Justice,Supported Child Contact Centres (SCCC),1,2500
Ministry of Justice,YJB Pathfinder - Reducing Serious Youth Violence - Newcastle,1,80000
National Churches Trust,Cornerstone,1,15000
National Churches Trust,Foundation,1,2000
National Churches Trust,Small Grants Programme,1,4000
Nesta,EdTech Innovation Fund,3,3750
Nesta,Longitude Prize on Dementia,1,80000
Nuffield Foundation,,1,7000
Paul Hamlyn Foundation,Arts Access and Participation - Access and Participation Fund,3,580000
Paul Hamlyn Foundation,Arts Access and Participation - Inflation COL Support - APA,3,36350
Paul Hamlyn Foundation,Education and Learning through the Arts - Arts-based Learning Fund,2,408000
Paul Hamlyn Foundation,Investing in Young People - Act for Change Fund,2,6500
Paul Hamlyn Foundation,Migration and Integration - Inflation COL support - M&I,1,8000
Paul Hamlyn Foundation,Migration and Integration - Shared Ground Fund,1,160000
Paul Hamlyn Foundation,Other grants and programmes - Strategic Interventions Fund,1,90000
Paul Hamlyn Foundation,Other grants and programmes\COVID19 Emergency Fund,1,10000
Paul Hamlyn Foundation,Other grants and programmes\COVID19 Emergency Fund - Organisations,2,40000
Point North,Banks Family Funds,1,10000
Point North,Banks Lambs Hill Community Benefits Wind Farm,1,500
Point North,Community Arts and Culture Grants Programme,2,3500
Point North,Community Grants Funding Programme,2,9770
Point North,Darlington Building Society,1,1500
Point North,Donor Direct Support Funding,5,103910
Point North,Donor Directed Funding (Anonymous Donation),1,250
Point North,EDF Energy Renewables - Boundary Lane Wind Farm Community Benefits Fund,1,970.8
Point North,Greener Communities,1,5000
Point North,Know Your Neighbourhood,1,69500
Point North,Made By Sport Fund,5,10012
Point North,NHS Health Improvement Fund,1,4840
Point North,Northumbrian Water Community Fund,1,450
Point North,Poverty Hurts,2,20000
Point North,Sherburn House Charity Community Grants Fund,3,11500
Point North,Stanley Community Fund,1,1859.65
Point North,UMi Funding Programme,1,5000
Point North,Warm Spaces,1,1000
Postcode Active Trust,Regular Award,2,1000000
Postcode Children Trust,Regular Award,2,900000
Postcode Neighbourhood Trust,Community Grant,17,368286
Power to Change Trust,C-19 Emergency Trading Income Support Scheme (TISS),9,208409
Power to Change Trust,COVID-19 Community Led Organisation Recovery Scheme (CCLORS),4,57897
Power to Change Trust,Covid-19 Renewal Initiative,1,11572
Power to Change Trust,Leading The Way 2 (LTW),2,16000
Power to Change Trust,Resilient Communities Fund (RCF),6,59900
Power to Change Trust,Trade Up (TU),1,10000
Power to Change Trust,Trade Up 2.0,1,5000
Power to Change Trust,W.sale / Blended - Community Shares (CSh),1,720
Prudence Trust,,1,171990
Rank Foundation,Rank Golden Awards,1,20000
Rank Foundation,Time to Shine Grant,2,21597.6
SHAREGIFT,,3,90000
Sam and Bella Sebba Charitable Foundation,"Migrants, Refugees and Asylum Seekers",1,100000
Seafarers' Charity,Main Grants Programme,1,30000
Skinners' Charity Foundation,"Arts, Heritage and Communities",2,1475
Smallwood Trust,DCMS Community Match programme,3,58983
Sport England,Active Environments,1,2100000
Sport England,COVID-19 Community Emergency Fund,41,168881
Sport England,COVID-19 Community Leisure Recovery Fund,2,87400
Sport England,COVID-19 Innovative Solutions,1,9000
Sport England,COVID-19 National Leisure Recovery Fund,1,770975
Sport England,COVID-19 Sport Winter Survival Package,3,341620
Sport England,Capital Transition Place Funding - Exch,1,500000
Sport England,Crowdfunder: Active Together,5,0
Sport England,Facilities and Planning Monitoring and Evaluation,1,4980
Sport England,Flood Relief 2021,1,4600
Sport England,Local Delivery Pilots,1,330124
Sport England,Queen's Platinum Jubilee Activity Fund,13,103553
Sport England,Return to Play - Community Asset Fund,4,124030
Sport England,Return to Play - Small Grants,22,129337
Sport England,School Games Organisers,4,95200
Sport England,Secondary Teacher Training,1,23450
Sport England,Small Grants,27,215060
Sport England,Strategic Facilities,1,2000000
Sport England,Swimming Pool Support Fund,2,204888
Sport England,This Girl Can - Local Activation,1,92452
Sport England,This Girl Can Community Fund,6,36423
Sport England,Toyota Parasport Fund,2,6350
Sport England,WEURO Legacy Fund,1,2000
The Archbishops' Council ,Heritage Stimulus Major Works Fund 2021 - Covid 19,1,54464.54
The Badur Foundation,,12,151890
The Ballinger Charitable Trust,,37,976909
The Bishop Radford Trust,,3,7000
The Charity of Sir Richard Whittington,Church and Communities - Stronger Communities,3,265000
The Childhood Trust,Champions for Children 2020 - Covid-19,1,10000
The Childhood Trust,Champions for Children 2021,1,2500
The Childhood Trust,Champions for Children 2022,1,2500
The Childhood Trust,Champions for Children 2023,1,2500
The Childhood Trust,Christmas Challenge 2022,1,12500
The Clothworkers Foundation,Large Grants Programme,2,128400
The Clothworkers' Foundation,Clothworkers' Emergency Capital Programme,2,7800
The Clothworkers' Foundation,Large Grants Programme,4,309800
The Clothworkers' Foundation,"Research, Development and Partnerships",2,6000
The Clothworkers' Foundation,Small Grants Programme,16,146920
The Coutts Foundation,Women & Girls,3,128000
The Dulverton Trust,Africa,2,45962
The Dulverton Trust,General Welfare,3,149429
The Dulverton Trust,Heritage,1,20000
The Dunhill Medical Trust,Capability Development Programme,1,15000
The Earl of Northampton's Charity,Church and Communities - Stronger Communities,2,39000
The Fore,,5,98900
The Foyle Foundation,Main Grants Scheme,11,309000
The Foyle Foundation,Main Grants Scheme (Capital £75K +),1,75000
The Foyle Foundation,School Library Scheme,4,20000
The Foyle Foundation,Small Grants Scheme,6,34000
The Greggs Foundation,Community Hub Programme Core Funding,2,105000
The Greggs Foundation,North East Core Funding,10,376440
The Henry Smith Charity ,COVID-19,1,54300
The Henry Smith Charity ,COVID-19 Long-Term Support,2,187700
The Henry Smith Charity ,Community Match Challenge,3,199800
The Henry Smith Charity ,Flex Fund,5,256600
The Henry Smith Charity ,Holiday Grant,7,13130
The Henry Smith Charity ,Improving Lives,5,909800
The Henry Smith Charity ,Strengthening Communities,5,691000
The Joseph Rank Trust,,3,110000
The Leathersellers' Foundation,Small Grant,3,5500
The MSE Charity,Living with Long Term Challenges,1,7842
The National Archives,Cataloguing Grants,1,35000
The National Lottery Community Fund,Coronavirus Community Support Fund – Standard,1,40711
The National Lottery Community Fund,Local Connections Fund Round 2,6,13334
The National Lottery Community Fund,National Lottery Awards for All,12,115580
The National Lottery Community Fund,National Lottery Awards for All England,284,2865310
The National Lottery Community Fund,National Lottery COVID-19 Fund - Over £10000,1,38602
The National Lottery Community Fund,National Lottery COVID-19 Fund - Up to £10000,14,127291
The National Lottery Community Fund,RC England Wide,3,622147
The National Lottery Community Fund,RC North East and Cumbria Region,43,7401333
The National Lottery Community Fund,Together for Our Planet - UK,1,9984
The National Lottery Heritage Fund,Dynamic Collections,1,110600
The National Lottery Heritage Fund,Future Parks Accelerator,1,347986
The National Lottery Heritage Fund,Heritage Emergency Fund,13,685700
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £10,000 to £250,000",15,1974696
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £250,000 to £5million",1,158600
The National Lottery Heritage Fund,"National Lottery Grants for Heritage – £3,000 to £10,000",17,162704
The National Lottery Heritage Fund,"National Lottery Heritage Grants £10,000 to £250,000",4,670680
The National Lottery Heritage Fund,"National Lottery Heritage Grants £250,000 to £10 million",1,437732
The National Lottery Heritage Fund,Resilience and Inclusion,2,80700
The Pilgrim Trust,Social Welfare,2,46566
The Segelman Trust,,2,120000
The Shears Foundation,,29,357246
The Trussell Trust,Coronavirus,3,4653.95
The Trussell Trust,Covid19 Emergency Grants,3,4653.95
The Trussell Trust,Emergency grant,3,27319
The Trussell Trust,Financial Inclusion,5,422540.73
The Trussell Trust,Organising & Local Mobilisation,2,283174
The Trussell Trust,Strategic Facilities,1,29633.83
The Trussell Trust,Strategic Resources,1,31825
The Tudor Trust,,29,669300
True Colours Trust,,1,10000
Trusthouse Charitable Foundation,Major Grants,1,87023
Trusthouse Charitable Foundation,Small Grant,1,10000
Trusthouse Charitable Foundation,Small Grants,3,27658
Tuixen Foundation,,6,112000
UK Community Foundations,NET Coronavirus Appeal,4,1529183.71
Virgin Money Foundation,#iwill Take Action Fund,3,82608
Virgin Money Foundation,#iwill Take Action Fund ,2,70000
Virgin Money Foundation,Colleagues in the Community,24,21493
Virgin Money Foundation,Community Anchors' Fund,7,231000
Virgin Money Foundation,Community Resilience Fund ,2,29750
Virgin Money Foundation,Glasgow Community Anchors' Fund,1,30000
Virgin Money Foundation,Leading the Way,1,8000
Virgin Money Foundation,Volunteer and Connect Fund,2,4000
Wates Family Enterprise Trust,,1,9641
Wolfson Foundation,Arts and Humanities,8,395000
Wolfson Foundation,Education,5,125000
Wolfson Foundation,Health and Disability,3,178900
Wolfson Foundation,Science and Medicine,3,2100000
