organisation,LAD24CD,LAD24NM,IPSO,NPO,Project Grant,latitude,longitude
Rosa Postlethwaite,E08000021,Newcastle upon Tyne,,,True,,
Rosa Stourac McCreery,E08000021,Newcastle upon Tyne,,,True,,
Rowan McCabe,E08000021,Newcastle upon Tyne,,,True,,
Sabina Sallis,E08000021,Newcastle upon Tyne,,,True,,
Samantha Neale,E08000021,Newcastle upon Tyne,,,True,,
Sarah Li,E08000021,Newcastle upon Tyne,,,True,,
Sebastian Trend,E08000021,Newcastle upon Tyne,,,True,,
"Seven Stories, The National Centre for Children's Books",E08000021,Newcastle upon Tyne,,True,,54.974924,-1.5923623
Simon West,E08000021,Newcastle upon Tyne,,,True,,
Sister Shack,E08000021,Newcastle upon Tyne,,,True,,
Skimstone Arts,E08000021,Newcastle upon Tyne,,,True,,
SlamFresh,E08000021,Newcastle upon Tyne,,,True,,
Slugtown,E08000021,Newcastle upon Tyne,,,True,,
Southpaw Dance Company,E08000021,Newcastle upon Tyne,,,True,,
Steve Byron,E08000021,Newcastle upon Tyne,,,True,,
Steven Moore,E08000021,Newcastle upon Tyne,,,True,,
Susie Green,E08000021,Newcastle upon Tyne,,,True,,
TUSK MUSIC PROJECTS,E08000021,Newcastle upon Tyne,,,True,,
Tallulah Lines,E08000021,Newcastle upon Tyne,,,True,,
Tamsin Rees,E08000021,Newcastle upon Tyne,,,True,,
Tatwood Puppets,E08000021,Newcastle upon Tyne,,,True,,
The Empty Space,E08000021,Newcastle upon Tyne,,,True,,
The Letter Room,E08000021,Newcastle upon Tyne,,,True,,
The Lubber Fiend,E08000021,Newcastle upon Tyne,,,True,,
The NewBridge Project,E08000021,Newcastle upon Tyne,,True,,54.977894,-1.5991754
Tim Dalling,E08000021,Newcastle upon Tyne,,,True,,
Timothy Burke,E08000021,Newcastle upon Tyne,,,True,,
Tusk Music,E08000021,Newcastle upon Tyne,,,True,,
Tyne & Wear Archives & Museums,E08000021,Newcastle upon Tyne,,True,True,54.969079,-1.6245212
Tyne Bank Brewery Ltd,E08000021,Newcastle upon Tyne,,,True,,
Tyneside Cinema,E08000021,Newcastle upon Tyne,,,True,,
Tyneside Irish Cultural Society,E08000021,Newcastle upon Tyne,,,True,,
Unfolding Theatre,E08000021,Newcastle upon Tyne,,True,,54.974976,-1.5944396
Unlock Music CIC,E08000021,Newcastle upon Tyne,,,True,,
Vane Contemporary Art Limited,E08000021,Newcastle upon Tyne,,,True,,
Wear and Tyne Festivals,E08000021,Newcastle upon Tyne,,,True,,
Wesley Stephenson,E08000021,Newcastle upon Tyne,,,True,,
